動作,itemId,類型,現名,新名,目標路徑
搬移,1KK42c20B_NoMgGA2ud7i1vhP9nYf7IH3,檔案,道與教：林榮澤.WAV,,H06.人物與訓音史料
搬移,1BfLYwNPOYt_1s6ed-DN_A6nacGWp61U7,檔案,大姑前人講話.MP3,,H06.人物與訓音史料
搬移,1ZPXvJTXMFg6qsVQ6g5gmwNBXEtZft0lK,檔案,道脈源流：洪啟源.Mp3,,H06.人物與訓音史料
搬移,1gHURRIIr-ektkfnF2qJox0i_9qKoCGDQ,檔案,三曹普渡：羅國豐.Mp3,,H06.人物與訓音史料
搬移,19IK-GGZvRLazfU9rsuzHk0rZ8o3Dmvk6,檔案,天然古佛：印尼禮恩.Mp3,,H06.人物與訓音史料
搬移,1Bglj_zvKGJqBpNKojGRKiJaSsmxsbiV1,檔案,仙佛慈訓1.WAV,,H06.人物與訓音史料
搬移,1-6whZsbhxXCc-xUasWxpRphoMszkrSpG,檔案,天道濟世救人的內涵：蔣清潭講師.mp3,,H06.人物與訓音史料
搬移,1XQ_w8MqF9zmKQdMGATEBBOt8TLaPmcgm,檔案,降道降劫之由來：蔣清潭講師.mp3,,H06.人物與訓音史料
搬移,1RwfiFor838MV-eg6R9dLklsdO1AKAO9J,檔案,孝1.MP3,,H06.人物與訓音史料
搬移,1yu8FSevXzAv_zUp0tFiythsNSdViF5WS,檔案,道與教的分析.MP3,,H06.人物與訓音史料
搬移,1JvlyxtxzKT4LMVBmBuAQ03cNJgPy8BQp,檔案,傳題-勸發菩提心.MP3,,H06.人物與訓音史料
搬移,18TEOEdD-WLPR6KURVl4c5WkVKfQoP1US,檔案,蔡經理慈悲.wav,,H06.人物與訓音史料
搬移,1n63ISMQYhVUhgqeGr9JSfL9qXjpNRqbZ,資料夾,李講師的錄音帶,,H06.人物與訓音史料
搬移,1UhnIyiAldXBrDX6dF8OClnqRBeo9W_pG,資料夾,1987老前人慈悲：新加坡,,H90.歷年活動/1987
搬移,1hXnwW_1pRygdUzE8kGl6o5vfDASgasUt,資料夾,1997-04-21-04-23溫哥華聖澤壇三天法會,,H90.歷年活動/1997
搬移,1Nfhm1LCpGJIKcwBhSriFIu2njgC9Sd6S,檔案,2004恩師慈悲：化星壇.MP3,,H90.歷年活動/2004
搬移,1Wxmr_uFWNmornDd9yllV6d6ifmty2LPN,資料夾,2004年天元道院暑期青少年育樂營 Tianyuan Taoist Temple - Summer Youth Class 2004,,H90.歷年活動/2004
搬移,13cl2xSwqvxOKnV4vmpepKdN67scDzqJG,資料夾,"2004-09-18~10-15 蘇樹宗講師主講易經及論語(溫哥華,音量需要放大)",,H90.歷年活動/2004
搬移,1uO6kSDf0r7LMU8OgNijnijAlQadyGp5e,檔案,2005-11-11開沙訓：巴淡三天班.MP3,,H90.歷年活動/2005
搬移,1kd7QeHtr-vN2XLm8pqTn0sO_boN3nJYx,資料夾,2005-11-21~2006-02-23明聖經：蘇講師,,H90.歷年活動/2005
搬移,1HV4sbhBlvAZJvNtQ61wooW-iSo9YreR_,資料夾,2005-09-16~21馬來西亞古晉：大學經典講座：蘇講師,,H90.歷年活動/2005
搬移,1mZ3f_xQH92eOwHZqXR1haphtPZrKSQrq,檔案,2006-03-20 蘇樹宗：一貫義理：天慈.wma,,H90.歷年活動/2006
搬移,1KN84LMSmBPKIXq8xRsLJcOmo5uRYmNMj,檔案,2006-03-20 天慈讀大學全書大旨.wma,,H90.歷年活動/2006
搬移,1KiXB1NrmCVfHEFMmBharjqwP5aeoDguA,檔案,2006-07-14-07-16菲律賓天霖佛院三天法會.wav,,H90.歷年活動/2006
搬移,1O5Ek58HGblA0BBIqlqE1mrVgd9yizBxU,資料夾,2006-07-21-07-23菲律賓計順市廣德三天法會,,H90.歷年活動/2006
搬移,1QzRnu9PhhM3RpLy9_hMf1Q5rnfv3WzjY,資料夾,2006-07-07-09菲律賓紅奚禮市化慈三天法會,,H90.歷年活動/2006
搬移,1hxYB-dBtOMO4tWcAFlUZm9iQidMmZNME,資料夾,2006-04-21泰國龍德壇三天法會,,H90.歷年活動/2006
搬移,1TS4aDAsE5nRBJQBTJcrJU7PVO44Y7HRO,資料夾,2006-08-25台中霧峰武聖宮三天法會：錄音,,H90.歷年活動/2006
搬移,1YuyiAjIbwl4G0kjt8Q9YzQ145Tc0CdM-,資料夾,2006-08-25台中霧峰武聖宮三天法會：仙佛帶動唱,,H90.歷年活動/2006
搬移,1B2SUDwkB8DvrULQNluIgvhoetZkANFyj,資料夾,2006-06-24-06-25馬來西亞居林常德班,,H90.歷年活動/2006
搬移,1Zu3MaWec3i31V4etiXpKJrZz7fhZIbvo,資料夾,2006-09-23~25大學證釋：澳洲,,H90.歷年活動/2006
搬移,1l8oS80-gjnajR8Nn9hBmOuPv-c5zV9Qj,資料夾,2006-02-10靈隱寺,,H90.歷年活動/2006
搬移,1Ja19Gfmc7NnrX4o604b0AKiN1OA2CQ0L,資料夾,2006-02-26一貫真傳：董經理,,H90.歷年活動/2006
搬移,1A_EqeziDItDBx6jac_A0tI2FiL1DJDQv,檔案,2007-06-07 黃進芳點傳師慈勉：溫尼辟慈化道院.mp3,,H90.歷年活動/2007
搬移,17F0475x2ovYVFqRoSEBUWxXe1GxT14zz,檔案,2007-07-29(3)@10-30-48文殊菩薩慈訓(老蔡點傳師講孝道).MP3,,H90.歷年活動/2007
搬移,1eaA0WbzWk4xKG5Eh0Hyf4TGBEwhsSXod,檔案,2007-12-11清萊府立志壇一天佛規禮節班濟公活佛.MP3,,H90.歷年活動/2007
搬移,1y0x9MRwkhbdbM7yu8fzKTLxfw7QgFMRy,資料夾,2007加拿大溫尼辟一天綜合班,,H90.歷年活動/2007
搬移,15QS_qHkFE1HI06XbpA6DZl8Fzzq5L0cZ,資料夾,2007-06-22~24泰國紅統府仁善佛堂明德新民進修班,,H90.歷年活動/2007
搬移,1JJEMzOmUTPn2r9i-aXtGbwPxyyRjimkU,資料夾,2007-04-03澳洲墨爾本沐恩三天法會,,H90.歷年活動/2007
搬移,1c_cO0ZpqZFeBgnU1dHv9SoIst1J7CcTu,資料夾,2007-12-01挽沛府慈宣壇二天年終檢討班,,H90.歷年活動/2007
搬移,1QmaEK68JUH21ZLPrvU5zCOXTJuPU52Wy,資料夾,2007-12-15清邁府廣智壇二天年終檢討班,,H90.歷年活動/2007
搬移,1ocSdNUp08p2yIff-iLnoV-a2Ud4uLeLi,資料夾,2007-11-24碧差汶府鳳德壇二天年終檢討班,,H90.歷年活動/2007
搬移,1opUi_7eKtmkuiIp8e_TtegN4YdXvhn2t,資料夾,2007-11-17北欖府奉恩樓二天年終檢討班,,H90.歷年活動/2007
搬移,14cSudtyXnDWp1KxPRL9jYhKWCApXSYKL,資料夾,2007-12-08清萊府普愛壇二天年終檢討班,,H90.歷年活動/2007
搬移,1G-y3RJAUCriUaxriwMOAhSQLA8JXeQ1X,資料夾,2007-12-08北欖府奉恩樓二天年終檢討班錄音檔,,H90.歷年活動/2007
搬移,1EnVuUSa202ZXmMo2P_2omqmpfBDAe02G,資料夾,2007-12-01泰國慈化壇二天檢討班,,H90.歷年活動/2007
搬移,19juwvTm50wf4cuSeK5FhOfEZQ1AgxOqV,資料夾,2007-06-09~10加拿大溫尼辟兩天辦事人員班,,H90.歷年活動/2007
搬移,13WIF3KEpQalDZ24_Kyrlt4Vx0WYqxSu5,資料夾,2007-06-15~17泰國普吉島崇聖佛堂明德新民進修班,,H90.歷年活動/2007
搬移,1sNS0-psXzZgGq06IfFUzVWzLSh_VfOSE,資料夾,2007-06-08-10泰國呵叻府普利叻佛堂三天法會,,H90.歷年活動/2007
搬移,1ydzZ6wGCzP2mS3WurojRWGnaEbeu9V6O,資料夾,2007-06-01~03泰國西沙吉慈信壇明德新民進修班,,H90.歷年活動/2007
搬移,1EUBUvD0P3aUR__ICofR3H4M9AL9wg76w,資料夾,2007-07-06~08泰國清萊府妙心佛堂明德新民進修,,H90.歷年活動/2007
搬移,1nDYjs0OjSeRIiBIQ7dsgxN7YJi2Iv13p,資料夾,2007-12-15泰國北欖府奉恩樓二天年終檢討班,,H90.歷年活動/2007
搬移,1FhrVU_chrk5aDjmykpFgO9b6r3xgVc3Z,資料夾,2007-11-24泰國素叻府孔廟：二天年終檢討班,,H90.歷年活動/2007
搬移,1d0yr0lk27zCn5aPQkLFaUpMzeqNALoYg,資料夾,2007-06-09(6)加拿大溫尼辟慈化道院二天法會第一天,,H90.歷年活動/2007
搬移,1EJwYsf4S8EuB9MPn5QdmVJ0pxm61zk4F,資料夾,2007-06-08(5)加拿大溫尼辟慈化道院一天法會,,H90.歷年活動/2007
搬移,1n4XWAfF8ivu0TI-n2_dE2piZFJy6OTMD,資料夾,2007孝經,,H90.歷年活動/2007
搬移,1hpHLjqJPEiEoAhgg-WVtH3hv4lc8pOsx,資料夾,2007大學證釋：蘇講師：天慈國外,,H90.歷年活動/2007
搬移,12Cy60dMbGKYgr9xKytCtAx5jzdkREOJQ,資料夾,2007-07中庸經典班：蘇講師：馬來西亞,,H90.歷年活動/2007
搬移,1vnUKuC3pxDNpvMHR1ha-i3KLunsyXbD5,資料夾,2007-07中庸經典班：董經理：馬來西亞,,H90.歷年活動/2007
搬移,1ogz8yELy-YSay00pULjNbPUgrZmIhcJq,資料夾,2007-07中庸經典班：溫經理：馬來西亞,,H90.歷年活動/2007
搬移,1V1qnnSGDbo5W0etP--szm-IYp9byE9w1,資料夾,2007-05-20靈化菩薩修辦精神,,H90.歷年活動/2007
搬移,1j3475kqYToB8XDTGNg5rv37MOH_GSKz4,檔案,2008-08-30(6)14-31-23.wma,,H90.歷年活動/2008
搬移,1vTCaUtKEiXMmX8NlRo7x4c4Z2clM3GoO,檔案,2008-12-28(0)峨眉書院年終檢討精進班第二天活佛師尊慈訓.mp3,,H90.歷年活動/2008
搬移,1-qoTkZjCj4EQGWxgLMWj_R4gi1p_bxrg,檔案,2008-12-01(1)靈隱寺法會文書行前會議.mp3,,H90.歷年活動/2008
搬移,1Osu7s05aGWTvHc0tBn0ugTVq_SR3nnNQ,檔案,2008-11-29(6)白水老人來臺開荒六十週年感恩紀念大會於崇德佛院.mp3,,H90.歷年活動/2008
搬移,1K0Hy5icMLl2kt-0-jjuKziiV8l0yVUM5,檔案,2008-09-25談中華文化：雪梨化性.mp3,,H90.歷年活動/2008
搬移,1SPjq_sc0ZzR-EH5WEuq9iqeYPTHyAPaz,檔案,2008-09-07天道一貫彌勒因緣：董招賢經理.mp3,,H90.歷年活動/2008
搬移,1E-mzoTNbkID9t8RJ1ZS5n7avaKDaRJuh,檔案,2008-09-07天命與道統：向漢岳講師.mp3,,H90.歷年活動/2008
搬移,1QB-k_QXG-83Q6smTZ61Qjuyl0XlTGQ7l,檔案,2008-08-20(3) 孔奕欣主講華語師資認證.mp3,,H90.歷年活動/2008
搬移,1SGqu1Ii0fKlwbFLHD4rQDokwYBafExQh,檔案,2008-09-10(3)華語師資培訓：畢班：中壢廖氏壇.wav,,H90.歷年活動/2008
搬移,17KTdu_FwYt9ruhy2mCfZYKjrLD5oOvzd,檔案,2008-09-03(3)華語師資班：黃素暖講師：中壢廖氏壇.wav,,H90.歷年活動/2008
搬移,1JjjDWKxspIcoXBXp3MHjGiAyjLsz7Avc,檔案,2008-08-27(3)靈隱寺華語教學展望：蔡碧金講師：中壢廖氏壇.wav,,H90.歷年活動/2008
搬移,1jm0LU7mCtJoqchFe4UQYg-jjwHot8Lom,檔案,2008-06-29泰國清邁廣智佛規愿行班：淚光(老師).mp3,,H90.歷年活動/2008
搬移,1ZABi_SsipD5yzIit1mGaZ7bpy-cKVl8b,檔案,2008-05-03藍采和大仙：天慈佛院.wma,,H90.歷年活動/2008
搬移,10O6m4Wyve5-KqPcHf-pCqFBxhcNe3AHA,檔案,2008-03-23峨眉書院聯絡圈：養生之道：歐講師.wav,,H90.歷年活動/2008
搬移,1Rtc6w6YiHuHx9JFxtCACGi8KGweelqfa,檔案,2008-03-12萬隆宣德壇普通一天班.Mp3,,H90.歷年活動/2008
搬移,1sofWmXjEp2ZDE1tJTrqHapehnqDZ4XRb,檔案,2008-02-09~11老師臨壇全程錄音武聖宮三天法會.mp3,,H90.歷年活動/2008
搬移,11J4nht6G2JVtubx1ATW6GwL8E8ImraaG,檔案,2008-10-07保養學養修養：聖慈.MP3,,H90.歷年活動/2008
搬移,1cr82grLQqQ6hCCZBANkngJXvfV45N7Wq,檔案,2008-04-23泰國孝經十八章章旨導讀之一：蘇講師.WAV,,H90.歷年活動/2008
搬移,1aqUwnERItpfWWC53h9T6dC_U60Ajj0UK,檔案,2008-04-20董經理談經營紐西蘭：泰國.WAV,,H90.歷年活動/2008
搬移,1wRxEGhunbQCOuNrVUwSDoUDiMUQV7Xix,資料夾,2008-10-12易經：聖慈,,H90.歷年活動/2008
搬移,1qFp2qjuxRwCHwfu2dDaY_maAhqxJNEM2,資料夾,2008-05-09-05-11澳洲沐恩三天法會,,H90.歷年活動/2008
搬移,1-gPFAGRAvGsXR9_TTv5V1NbSy4m5Qsc5,資料夾,2008-03-03-03-05澳洲慈育三天法會,,H90.歷年活動/2008
搬移,1CKlmyzREhdV_FlMgFwOwNUjXul7fhvDN,資料夾,2008-05-24高雄慈聖佛規愿行班,,H90.歷年活動/2008
搬移,1K07JDikK5dtIxWqG_d54bPNUlwSEExP0,資料夾,2008-01-25蔡經理授課：聖恩壇,,H90.歷年活動/2008
搬移,1HbpTxp2gEAWCyIJF8qyYGKiSadlrAzb1,資料夾,2008-07-16峨眉書院第一期華語師資班：注音教學：平鎮廖氏壇：林秀環,,H90.歷年活動/2008
搬移,1kiOFU9H2TaoKZRu5aqVNqRhGIGtE1ViA,資料夾,2008-08-13華語師資班：曾詩秦,,H90.歷年活動/2008
搬移,1KmfT_6RSI5lry_DWCmmTMm1ZXJqGDbBl,資料夾,2008-09-05~07紐西蘭聖慈三天法會,,H90.歷年活動/2008
搬移,1p1UgcxM_uzc3IF55SjTXEVeGBVCiqA-t,資料夾,2008-01-12大連一天研究班,,H90.歷年活動/2008
搬移,1fawrotnH8wnifDGkkJvyST51Y85ZjuE1,資料夾,2008-01-11大連讀書會,,H90.歷年活動/2008
搬移,1U4jc0_u7q8MGb6bMbx3qtCXDrP9qsyY_,資料夾,2008-01-05大連瓦房店,,H90.歷年活動/2008
搬移,15tLD90gEazMZWtkQq7Q3u5M7afiMgDuV,資料夾,2008-10-12中庸：聖慈,,H90.歷年活動/2008
搬移,147Bt63I6cwSOIyJYiEQhEEI4amj3HSom,資料夾,2008-10-18~19孝經培訓,,H90.歷年活動/2008
搬移,1-zgsCZF-HfmgcwFjR0LTuEedXmRBxKdi,資料夾,2008-02-25~27孝經經典班師資培訓,,H90.歷年活動/2008
搬移,1skq81byRT3q8h55cAWULovYRYzQyp4U8,資料夾,2008-03-15~16兩天班,,H90.歷年活動/2008
搬移,11OFTEyx462KFENvx8zcqhgkvaMlPImUV,資料夾,2008-01-20老師臨壇,,H90.歷年活動/2008
搬移,1YgMOIiFY1V8UsW83O3Lo0RpDjAP1WaET,資料夾,2008-01-17蔡經理授課(聖恩壇),,H90.歷年活動/2008
搬移,1TZic7QucxSS9ilvrgm5e31cyp4LyAGHf,資料夾,2008-12-27.28 峨眉書院 年終一天檢討班＿錄音檔,,H90.歷年活動/2008
搬移,19Ck9Z4Bs54yjexaMczcKv1Ta7AnyeIdC,資料夾,2008-08-25 聖恩法會小組錄音,,H90.歷年活動/2008
搬移,1KF1Tg1mwqKR8KGesMSceBW1a0w1p8RkE,資料夾,2008-11-23(0)白水老人開荒闡道六十週年紀念會於靈隱寺,,H90.歷年活動/2008
搬移,1BoFSisqoNMYS9VGQrNFMFTmNYXGjYoFF,資料夾,2008-08-25(1) 峨眉書院文書工作沿革 (宋經理講述於板橋聖恩壇),,H90.歷年活動/2008
搬移,15IHour4BD94_UwdoakqX1AS6srcB9eVR,資料夾,2008-08-20(3)華語師資認證(孔奕欣主講於平鎮廖氏壇),,H90.歷年活動/2008
搬移,1FXUFBPyHHmuHKqAn8eImR2iTzpPbdY_C,資料夾,2008-07-03(4)~09-10(3) 峨眉書院第一期華語師資班,,H90.歷年活動/2008
搬移,1ejV4vobKYnGFxhUZ3RNMhASIULEGjRRg,資料夾,2008-01-06 0900~1630 華山講堂兒童讀經師資研習會 (待縮小),,H90.歷年活動/2008
搬移,1LwU5o5gZKlb3YuK_LK8R06fVUZxdEhgI,資料夾,2008-03-17(1)~19(3) 經理電腦班,,H90.歷年活動/2008
搬移,1XogemUiUJtXBfz3jpeuyv5YdJEMXGOSG,資料夾,2008-08-23 靈隱寺道德經培訓班,,H90.歷年活動/2008
搬移,1i-ohLLnxE-fm8uEVlSjvxIgMsAFGWz-6,資料夾,2008年天元道院暑期青少年育樂營 Tian Yuan Youth Class 2008,,H90.歷年活動/2008
搬移,1S8TKqGH-I2Np5zPHs821ECWSVrqu09Ke,資料夾,2008-07-07~08 靈隱寺華語教學演示 (檔案太大，待處理),,H90.歷年活動/2008
搬移,1xxmz2S6kBEe561B9psQcfvAgeot18Cvb,檔案,2009-10-09(5)聖恩壇三十週年慶.mp3,,H90.歷年活動/2009
搬移,1mR7QncWar3MQKMjntessBhXpmBrrccD7,檔案,2009-07-31(5)@08-11蔡韶悅點傳師為大陸道親慈悲於印尼棉蘭正心壇(正心壇華語三天法會畢班隔天早上).MP3,,H90.歷年活動/2009
搬移,1SfBHhOjI1sM7EdYxQs2RbuFIlx9rukHU,檔案,2009-07-10(5)開班意義(老蔡點傳師將於印尼巴眼儀仁壇三天法會第一天).mp3,,H90.歷年活動/2009
搬移,12cvTk4FHwKgPY1zgr_YrJUVryjxtmuOh,檔案,2009-07-07(2)@20-30-23老蔡點傳師慈悲大學首章(印尼北干月明壇閏五月十五晚間).MP3,,H90.歷年活動/2009
搬移,1ohYnWmyWR2_HMCDkRIGJTCaKmQqE4tJV,檔案,"2009-07-09(4)@20-24-16老蔡點傳師慈悲(福建話,印尼巴眼儀仁壇三天法會前夕).mp3",,H90.歷年活動/2009
搬移,1_raPkOZAgrqoFPjNoli-fQxeOAyfctSc,檔案,"2009-07-06@13-24-59老蔡點傳師慈悲(手電筒的故事,午餐後於北干月明壇).MP3",,H90.歷年活動/2009
搬移,1_AyL1GGpZzXeTE8LFTZXbdPib42VfTMZ,檔案,2009-07-06@08-47-12老蔡點傳師慈悲於北干鄭家.MP3,,H90.歷年活動/2009
搬移,1ZbIxIjcdta2Qka5arjHIYqJm9F-1zAr_,檔案,2009-07-06@06-57-19老蔡點傳師講心經(早餐前於北干月明壇頂樓).MP3,,H90.歷年活動/2009
搬移,1kMFNz9ZIxb8UvlEZoPPTG1Gfs0AuFow9,檔案,2009-07-04(6)@14-00-11印尼北干月明壇三天法會第二天活佛師尊慈訓.mp3,,H90.歷年活動/2009
搬移,1jGcwjlj4J6Q2E3_hOU23G95TZHhX0W17,檔案,2009-07-04(6)@09-50-15孝道(蔡韶悅點傳師於印尼北干月明壇三天法會第二天).mp3,,H90.歷年活動/2009
搬移,1ADwBIplmIX5PmOcGThO_VFhsY3LaPcoV,檔案,2009-06-28(0)@08-16-13印尼奇沙蘭兩天複習班第二天活佛師尊慈訓.MP3,,H90.歷年活動/2009
搬移,1pF4uAskf3js8Sk3QA8WRxlzzHajDc5lY,檔案,2009-06-25(4)老蔡點傳師慈悲於托巴湖.MP3,,H90.歷年活動/2009
搬移,1hBVy4owVu9-XbVUvF4Ycfd_YFtdQfQTV,檔案,2009-06-18(4)棉蘭正心壇學務文書座談自我介紹.MP3,,H90.歷年活動/2009
搬移,1Lfr0o0_YOWNQ4JVTOxo5YOZV08wez0H5,檔案,2009-06-18(4) Bengawan Solo (棉蘭正心壇學務文書第二次合唱).MP3,,H90.歷年活動/2009
搬移,1waBsyMh6Oio_7TkLATLuq-2H1roYSxdm,檔案,2009-06-18(4) Bengawan Solo (棉蘭正心壇學務文書第一次合唱).MP3,,H90.歷年活動/2009
搬移,115P0WjyhP7Fg0fkRxdcXuDpEPo7Y531y,檔案,2009-04-21(2)讀經班訪談(華江齡講師).MP3,,H90.歷年活動/2009
搬移,1urMK1zegVHJsgH_p8-pNbtn-COfTGrv3,檔案,2009-04-10~12老師：紐西蘭聖慈.wav,,H90.歷年活動/2009
搬移,1IFyI9p0v2nIODN5RIjsPRVFuKlMwqxDg,檔案,2009-04-17(5)認理歸真－道是什麼(宋經理講述).mp3,,H90.歷年活動/2009
搬移,1NOSWVANrVIxcLLhvUHeF1ufvpufwFQqd,檔案,"2009-04-17(5)認理歸真－道是什麼(宋經理講述,歐講師補充).mp3",,H90.歷年活動/2009
搬移,1vgpaWIUCc7bgG_7Lz_6tYM7dFoEC7m4g,檔案,2009-03-17(2)開荒組印尼道務支援會議.MP3,,H90.歷年活動/2009
搬移,1WeLFPI54Ly2cdvWYuIxgiju1BF0BCwxg,檔案,2009-03-20(5)粘秀祝點傳師生平介紹與證道.MP3,,H90.歷年活動/2009
搬移,1tkOe8PaS82e-9J4Or28fnQHeN4Vt1kuW,檔案,2009-02-09(1)金剛經簡介：董招賢點傳師：靈隱寺.mp3,,H90.歷年活動/2009
搬移,1IP9oSyhujHXVVoIeL-opztq_ywxOScGa,檔案,2009-01-24孔孟聖道.mp3,,H90.歷年活動/2009
搬移,1fFPFzG84JimidssT1vBb6CXtjslPQIMn,檔案,2009-01-21孔孟聖道儒門心法.mp3,,H90.歷年活動/2009
